candidate_feature,importance_gain,importance_split,original_feature,encoding,feature_group,auc_power,ks,iv,development_missing_rate,psi_development_validation,importance_gain_pct
ext_source_mean,99467.40545988083,377,ext_source_mean,numeric_original,current_application,0.7166262240902831,0.3250437600134246,0.6094893542326927,0.0005636642512208,0.0001587200574916,0.173352780170455
ext_source_min,14019.35858631134,248,ext_source_min,numeric_original,current_application,0.6911858036821537,0.2826912741472597,0.4678815681448544,0.0005636642512208,0.0002818999713611,0.024433077106086228
ext_source_max,13398.73248052597,293,ext_source_max,numeric_original,current_application,0.6857743043006221,0.2713294014544608,0.4409884370274413,0.0005636642512208,0.0002232955563586,0.02335144377718985
credit_to_annuity_ratio,12433.298265457153,625,credit_to_annuity_ratio,numeric_original,current_application,0.5322177936054967,0.0952032952315857,0.1428712442187236,4.335878855544776e-05,9.044507434001096e-05,0.021668875457647587
employment_years,11626.205137729645,552,employment_years,numeric_original,current_application,0.5831279860208569,0.1322741483872072,0.1143330693654077,0.1804213390277875,0.0001294742905551,0.020262265554622984
EXT_SOURCE_3,9240.026393175125,367,EXT_SOURCE_3,numeric_original,current_application,0.6818243074026483,0.2752321880582493,0.3386219077195299,0.1979816483927439,0.0001661005067066,0.016103609586472556
bureau_recent_24m_debt_to_credit_max,9068.43094778061,258,bureau_recent_24m_debt_to_credit_max,numeric_original,external_credit_history,0.6209297328676409,0.1912290145840412,0.1291512392413947,0.3593793189418288,0.0001886101535028,0.015804551343360698
DAYS_BIRTH,7830.672772884369,487,DAYS_BIRTH,numeric_original,current_application,0.5832345109411772,0.12253555588599,0.0852754811446048,0.0,0.0001449920412785,0.013647374127317643
goods_to_credit_ratio,7686.860786914825,270,goods_to_credit_ratio,numeric_original,current_application,0.5674783644731105,0.1200333216459688,0.0678484781781657,0.0008996948625255,0.0001326964714271,0.013396737172685202
AMT_ANNUITY,6852.430446624756,383,AMT_ANNUITY,numeric_original,current_application,0.5016594293431377,0.0345755500724912,0.0231489153634522,4.335878855544776e-05,0.0002911078448296,0.011942483704636256
EXT_SOURCE_1,6396.941212177277,367,EXT_SOURCE_1,numeric_original,current_application,0.6637524666894945,0.2423925977289344,0.145247673773825,0.564206236077764,0.0002058492938243,0.01114865255196755
credit_card_recent_6m_utilization_max,6091.732594490051,128,credit_card_recent_6m_utilization_max,numeric_original,internal_credit_card_history,0.6529109029376879,0.2707443072879192,0.0796204017101177,0.7787075829101335,3.0044893216066567e-05,0.010616731947791318
installment_payment_sum,5820.079414367676,254,installment_payment_sum,numeric_original,internal_repayment_history,0.5336317952684966,0.0612050363597862,0.01837203194416,0.0,0.0003051076340169,0.010143292092809343
bureau_credit_card_debt_to_credit_max,5583.537491321564,194,bureau_credit_card_debt_to_credit_max,numeric_original,external_credit_history,0.6380815543001183,0.2276025634621152,0.1216684051661472,0.514191873479055,0.0001228809473884,0.009731044484687623
installment_recent_24m_late_days_mean,5488.662253379822,155,installment_recent_24m_late_days_mean,numeric_original,internal_repayment_history,0.5822912491157378,0.1411712061833888,0.0830452181769332,0.1806327131219953,0.0002604803656568,0.009565694979585994
previous_credit_to_application_mean,5103.2134308815,235,previous_credit_to_application_mean,numeric_original,internal_previous_application,0.5716271191093016,0.1121554808250842,0.0678226608787054,0.0563555854249432,0.0001049316407367,0.008893930951112737
id_publish_years,4978.577799081802,403,id_publish_years,numeric_original,current_application,0.558228382980718,0.0903566303178448,0.0421022529434011,0.0,0.000285344118628,0.008676714736606235
EXT_SOURCE_2,4725.369149208069,317,EXT_SOURCE_2,numeric_original,current_application,0.6543837471860928,0.2198697623362371,0.3005036722445837,0.0020649623049531,0.0003307593110529,0.008235420191766383
AMT_GOODS_PRICE,4520.399393081665,275,AMT_GOODS_PRICE,numeric_original,current_application,0.5322314228913305,0.0924222606562126,0.0922906827712216,0.0008996948625255,8.265290977156308e-05,0.007878196869100108
OWN_CAR_AGE,4367.221909761429,208,OWN_CAR_AGE,numeric_original,current_application,0.5580178737891622,0.1068544424972783,0.0251494021219899,0.6603055710623446,0.000290073156691,0.007611237632852746
annuity_to_income_ratio,4302.3019552230835,280,annuity_to_income_ratio,numeric_original,current_application,0.5203374368597129,0.0384946181805059,0.0064303721288359,4.335878855544776e-05,0.0002336138521765,0.007498094492587557
pos_recent_24m_instalment_future_mean,4170.457539558411,255,pos_recent_24m_instalment_future_mean,numeric_original,internal_pos_cash_history,0.5190789976658606,0.0450176390145493,0.0118519043998382,0.2024259242196773,0.0002335176577279,0.007268314738106692
ext_source_std,4128.80057144165,314,ext_source_std,numeric_original,current_application,0.5505319924010995,0.0819863001618307,0.0378324883432917,0.1192908670131756,0.0002503109715932,0.007195714561163049
previous_refusal_rate,3996.578628063202,126,previous_refusal_rate,numeric_original,internal_previous_application,0.5611747625754916,0.1078861732520655,0.072557529150225,0.0530548976461597,1.6072188334089665e-05,0.006965276847640507
