amount_cost_scenario,split,decline_pct_target_from_validation,manual_review_pct_target_from_validation,total_intervention_pct_target,pd_manual_cutoff_from_validation,pd_decline_cutoff_from_validation,score_manual_cutoff_from_validation,score_decline_cutoff_from_validation,rows,direct_decline_rows,manual_review_rows,auto_approve_rows,actual_direct_decline_pct,actual_manual_review_pct,total_credit_exposure,total_bad_credit_exposure,total_good_credit_exposure,direct_decline_credit_exposure,manual_review_credit_exposure,auto_approve_credit_exposure,bad_direct_decline_credit_exposure,good_direct_decline_credit_exposure,bad_manual_review_credit_exposure,good_manual_review_credit_exposure,bad_auto_approve_credit_exposure,good_auto_approve_credit_exposure,direct_decline_credit_share,manual_review_credit_share,direct_decline_exposure_bad_rate,manual_review_exposure_bad_rate,auto_approve_exposure_bad_rate,expected_bad_exposure_saved,expected_good_exposure_lost,expected_bad_exposure_saved_capture,expected_good_exposure_lost_capture,expected_final_reject_exposure_share,expected_final_approve_exposure_bad_rate,expected_loss_saved_amount,expected_margin_lost_amount,manual_review_cost_amount,incremental_profit_proxy_amount,incremental_profit_proxy_per_10000_applications,incremental_profit_proxy_per_100m_credit,lgd_rate,net_margin_rate,manual_review_cost_rate_of_median_credit,manual_review_unit_cost,manual_bad_catch_rate,manual_good_false_decline_rate,max_direct_decline_pct,max_manual_review_pct,max_total_intervention_pct
amount_balanced_base,development,0.0,0.0,0.0,inf,inf,,,184507,0,0,184507,0.0,0.0,110525324116.5,8329757778.0,102195566338.5,0.0,0.0,110525324116.5,0.0,0.0,0.0,0.0,8329757778.0,102195566338.5,0.0,0.0,0.0,0.0,0.07536515133147187,0.0,0.0,0.0,0.0,0.0,0.07536515133147187,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.0,0.03,0.03,0.3446418113652874,inf,430.2628900269997,,184507,0,6622,177885,0.0,0.035890237226771884,110525324116.5,8329757778.0,102195566338.5,0.0,3475169847.0,107050154269.5,0.0,0.0,2650540653.0,824629194.0,5679217125.0,101370937144.5,0.0,0.03144229501048079,0.0,0.7627082328905808,0.05305192845124263,1590324391.8,49477751.64,0.1909208447813763,0.0004841477317725898,0.014836438223981637,0.06189466941130559,795162195.9,3958220.1312,3382871.877,787821103.8918,42698710.828955,712796.9179817936,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.0,0.05,0.05,0.2762157442718041,inf,453.39180376043964,,184507,0,10410,174097,0.0,0.0564206236077764,110525324116.5,8329757778.0,102195566338.5,0.0,5454997335.0,105070326781.5,0.0,0.0,3611945529.0,1843051806.0,4717812249.0,100352514532.5,0.0,0.049355180621321874,0.0,0.6621351592282675,0.04490147117188444,2167167317.4,110583108.36,0.2601717090890419,0.0010820734433206049,0.0206084030421763,0.056930518167606525,1083583658.7,8846648.6688,5317984.935,1069419025.0962,57960891.732899025,967578.2755171759,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.0,0.07,0.07,0.23432114709867607,inf,469.3162078296537,,184507,0,13931,170576,0.0,0.07550391042074285,110525324116.5,8329757778.0,102195566338.5,0.0,7303728622.5,103221595494.0,0.0,0.0,4304662915.5,2999065707.0,4025094862.5,99196500631.5,0.0,0.06608194710925663,0.0,0.5893788143002707,0.03899469721657197,2582797749.2999997,179943942.42,0.3100687700813477,0.001760780324108933,0.024996458628865112,0.0533298284004234,1291398874.6499999,14395515.3936,7116700.1085,1269886659.1478999,68825933.9292222,1148955.3813109535,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.0,0.1,0.1,0.19159978464952473,inf,487.75228358037833,,184507,0,19093,165414,0.0,0.10348116873614552,110525324116.5,8329757778.0,102195566338.5,0.0,10092240513.0,100433083603.5,0.0,0.0,5034932968.5,5057307544.5,3294824809.5,97138258794.0,0.0,0.09131156677145051,0.0,0.4988914960968687,0.032806169952001536,3020959781.1,303438452.67,0.36267078366657396,0.002969193904801387,0.03007815865136839,0.04952194165475248,1510479890.55,24275076.213600002,9753725.8755,1476451088.4609,80021413.19629608,1335848.684691154,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.01,0.0,0.01,0.47104785323454834,0.47104785323454834,392.2667743276861,392.2667743276861,184507,2854,0,181653,0.015468247817155988,0.0,110525324116.5,8329757778.0,102195566338.5,1491569707.5,0.0,109033754409.0,1333825942.5,157743765.0,0.0,0.0,6995931835.5,102037822573.5,0.01349527557981011,0.0,0.8942431156875718,0.0,0.06416299129953222,1333825942.5,157743765.0,0.16012781860509942,0.0015435480290554777,0.01349527557981011,0.06416299129953222,666912971.25,12619501.200000001,0.0,654293470.05,35461715.27638517,591985.1176915232,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.01,0.03,0.04,0.30531170684583064,0.47104785323454834,443.20773906287764,392.2667743276861,184507,2854,5701,175952,0.015468247817155988,0.030898556694325962,110525324116.5,8329757778.0,102195566338.5,1491569707.5,2982188457.0,106051565952.0,1333825942.5,157743765.0,1840325098.5,1141863358.5,5155606737.0,100895959215.0,0.01349527557981011,0.0269819471767086,0.8942431156875718,0.6171055669470724,0.048614150019561986,2438021001.6,226255566.51,0.2926881028928762,0.0022139469902302702,0.02410557570771473,0.054623396585841366,1219010500.8,18100445.3208,2912375.8035,1197997679.6757,64929660.103719644,1083912.3877283926,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.01,0.05,0.060000000000000005,0.2539950077229779,0.47104785323454834,461.62285245436374,392.2667743276861,184507,2854,9256,172397,0.015468247817155988,0.05016611835865306,110525324116.5,8329757778.0,102195566338.5,1491569707.5,4864779175.5,104168975233.5,1333825942.5,157743765.0,2637747121.5,2227032054.0,4358184714.0,99810790519.5,0.01349527557981011,0.0440150636461581,0.8942431156875718,0.5422131254763262,0.04183764603838052,2916474215.3999996,291365688.24,0.35012713372083837,0.0028510599694209454,0.029023573821495906,0.050441767269375846,1458237107.6999998,23309255.0592,4728459.996,1430199392.6447997,77514641.3222696,1294001.5368218129,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.01,0.07,0.08,0.21782097369218856,0.47104785323454834,476.12139403555483,392.2667743276861,184507,2854,12777,168876,0.015468247817155988,0.06924940517161951,110525324116.5,8329757778.0,102195566338.5,1491569707.5,6720635587.5,102313118821.5,1333825942.5,157743765.0,3249178600.5,3471456987.0,3746753235.0,98566365586.5,0.01349527557981011,0.06080629612464259,0.8942431156875718,0.4834629936703141,0.03662045765154273,3283333102.8,366031184.22,0.3941690971461043,0.003581673817507928,0.03301835408483726,0.047217584602295436,1641666551.4,29282494.737600002,6527175.1695,1605856881.4929,87035011.21870174,1452931.1669787415,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,development,0.01,0.1,0.11,0.18090978210725084,0.47104785323454834,492.8411925432189,392.2667743276861,184507,2854,17948,163705,0.015468247817155988,0.09727544212414706,110525324116.5,8329757778.0,102195566338.5,1491569707.5,9509892912.0,99523861497.0,1333825942.5,157743765.0,3904834153.5,5605058758.5,3091097682.0,96432763815.0,0.01349527557981011,0.08604266025020682,0.8942431156875718,0.410607584084644,0.031058860011105745,3676726434.6,494047290.51,0.4413965606912033,0.00483433194032683,0.037735910375741276,0.0437501858291593,1838363217.3,39523783.2408,9168798.618,1789670635.4412,96997438.33248603,1619240.3412948013,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
