amount_cost_scenario,split,decline_pct_target_from_validation,manual_review_pct_target_from_validation,total_intervention_pct_target,pd_manual_cutoff_from_validation,pd_decline_cutoff_from_validation,score_manual_cutoff_from_validation,score_decline_cutoff_from_validation,rows,direct_decline_rows,manual_review_rows,auto_approve_rows,actual_direct_decline_pct,actual_manual_review_pct,total_credit_exposure,total_bad_credit_exposure,total_good_credit_exposure,direct_decline_credit_exposure,manual_review_credit_exposure,auto_approve_credit_exposure,bad_direct_decline_credit_exposure,good_direct_decline_credit_exposure,bad_manual_review_credit_exposure,good_manual_review_credit_exposure,bad_auto_approve_credit_exposure,good_auto_approve_credit_exposure,direct_decline_credit_share,manual_review_credit_share,direct_decline_exposure_bad_rate,manual_review_exposure_bad_rate,auto_approve_exposure_bad_rate,expected_bad_exposure_saved,expected_good_exposure_lost,expected_bad_exposure_saved_capture,expected_good_exposure_lost_capture,expected_final_reject_exposure_share,expected_final_approve_exposure_bad_rate,expected_loss_saved_amount,expected_margin_lost_amount,manual_review_cost_amount,incremental_profit_proxy_amount,incremental_profit_proxy_per_10000_applications,incremental_profit_proxy_per_100m_credit,lgd_rate,net_margin_rate,manual_review_cost_rate_of_median_credit,manual_review_unit_cost,manual_bad_catch_rate,manual_good_false_decline_rate,max_direct_decline_pct,max_manual_review_pct,max_total_intervention_pct
amount_balanced_base,development,0.12,0.1,0.22,0.10723882008329237,0.1706412777881954,536.7759474858359,497.95507381024896,184507,22580,17582,144345,0.1223801806977513,0.09529177754773531,110525324116.5,8329757778.0,102195566338.5,11975067805.5,9607616181.0,88942640130.0,5453929206.0,6521138599.5,1293672555.0,8313943626.0,1582156017.0,87360484113.0,0.10834682369153331,0.08692683109323457,0.45544036113892217,0.13465073235943417,0.017788498460215428,6230132739.0,7019975217.06,0.747936843428342,0.06869158289908488,0.11988300475005736,0.021584378034555096,3115066369.5,561598017.3648001,8981826.237,2544486525.8982,137907316.5732574,2302175.131570902,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,final_holdout,0.12,0.1,0.22,0.10723882008329237,0.1706412777881954,536.7759474858359,497.95507381024896,61502,7343,6257,47902,0.11939449123605736,0.10173652889336932,36928579644.0,2768980162.5,34159599481.5,3849213856.5,3460936576.5,29618429211.0,1082771455.5,2766442401.0,489848998.5,2971087578.0,1196359708.5,28422069502.5,0.1042340077416274,0.09371973170547647,0.2812967779567693,0.14153654297686608,0.04039240906319514,1376680854.6,2944707655.68,0.4971797462633501,0.08620439643253959,0.11702016573448475,0.04269914885309409,688340427.3,235576612.4544,3196410.3495,449567404.49609995,73098013.803795,1217396.9560433493,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
amount_balanced_base,validation,0.12,0.1,0.22,0.10723882008329237,0.1706412777881954,536.7759474858359,497.95507381024896,61502,7381,6150,47971,0.12001235732171311,0.09999674807323339,36753180435.0,2748114009.0,34005066426.0,3808512828.0,3377608335.0,29567059272.0,1094454522.0,2714058306.0,465991155.0,2911617180.0,1187668332.0,28379390940.0,0.10362403424475229,0.09189975656592453,0.2873705751897759,0.13796482859520182,0.04016863229698064,1374049215.0,2888755336.8,0.49999716551061035,0.08495073353514408,0.11598464408648938,0.04229144036189794,687024607.5,231100426.944,3141749.025,452782431.531,73620765.42730318,1231954.4218268956,0.5,0.08,0.001,510.8535,0.6,0.06,0.15,0.1,0.25
high_lgd_growth,development,0.1,0.15,0.25,0.09552850331754612,0.19159978464952473,546.0571888633244,487.75228358037833,184507,19093,26455,138959,0.10348116873614552,0.14338209390429632,110525324116.5,8329757778.0,102195566338.5,10092240513.0,14501798527.5,85931285076.0,5034932968.5,5057307544.5,1974506661.0,12527291866.5,1320318148.5,84610966927.5,0.09131156677145051,0.13120792581629778,0.4988914960968687,0.1361559848770282,0.015364813261343343,6417087631.2,6059490893.82,0.7703810605571729,0.05929308981711877,0.11288434234193219,0.019507339285799112,4491961341.839999,605949089.382,13514629.3425,3872497623.115499,209883507.0276737,3503719.762028171,0.7,0.1,0.001,510.8535,0.7,0.08,0.2,0.15,0.35
high_lgd_growth,final_holdout,0.1,0.15,0.25,0.09552850331754612,0.19159978464952473,546.0571888633244,487.75228358037833,61502,6185,9199,46118,0.10056583525739,0.14957237163019088,36928579644.0,2768980162.5,34159599481.5,3215047662.0,5110478527.5,28603053454.5,962621676.0,2252425986.0,729909994.5,4380568533.0,1076448492.0,27526604962.5,0.08706123260070651,0.13838816918403546,0.29941132362596995,0.1428261542578216,0.03763404119466996,1473558672.15,2602871468.64,0.5321665687989559,0.07619736496177747,0.11038686513501803,0.03943186397052721,1031491070.505,260287146.864,4699341.3465,766504582.2945,124630838.39460506,2075640.573463102,0.7,0.1,0.001,510.8535,0.7,0.08,0.2,0.15,0.35
high_lgd_growth,validation,0.1,0.15,0.25,0.09552850331754612,0.19159978464952473,546.0571888633244,487.75228358037833,61502,6151,9225,46126,0.10001300770706643,0.14999512210985008,36753180435.0,2748114009.0,34005066426.0,3146339277.0,5060761825.5,28546079332.5,984518113.5,2161821163.5,686751799.5,4374010026.0,1076844096.0,27469235236.5,0.08560726554167121,0.13769588823612783,0.31290907522176925,0.13570126854016676,0.03772301209763689,1465244373.15,2511741965.58,0.533181799718412,0.07386375706825682,0.10820795075853414,0.03914028676062769,1025671061.205,251174196.558,4712623.5375,769784241.1095,125164098.90889728,2094469.7356760877,0.7,0.1,0.001,510.8535,0.7,0.08,0.2,0.15,0.35
high_margin_high_false_decline,development,0.07,0.1,0.17,0.13268463410307968,0.23432114709867607,519.3313634654797,469.3162078296537,184507,13931,17378,153198,0.07550391042074285,0.0941861284395714,110525324116.5,8329757778.0,102195566338.5,7303728622.5,9370707282.0,93850888212.0,4304662915.5,2999065707.0,1897686967.5,7473020314.5,2127407895.0,91723480317.0,0.06608194710925663,0.08478335039418423,0.5893788143002707,0.20251267171104875,0.022667956963757157,5253506399.25,3372716722.725,0.6306913765398089,0.03300257382549874,0.07804748089118896,0.030189190569162,2626753199.625,404726006.727,17755224.246,2204271968.652,119468202.7593533,1994359.198918586,0.5,0.12,0.002,1021.707,0.5,0.05,0.1,0.1,0.2
high_margin_high_false_decline,final_holdout,0.07,0.1,0.17,0.13268463410307968,0.23432114709867607,519.3313634654797,469.3162078296537,61502,4289,6214,50999,0.06973756950993464,0.10103736463854834,36928579644.0,2768980162.5,34159599481.5,2215596271.5,3373733700.0,31339249672.5,756406584.0,1459189687.5,604673703.0,2769059997.0,1407899875.5,29931349797.0,0.0599967909098822,0.09135833905672974,0.34140091032374714,0.17922982569726828,0.04492449213726465,1058743435.5,1597642687.35,0.3823586206352968,0.04676994787995813,0.07193307049602701,0.04990158350805826,529371717.75,191717122.482,6348887.298,331305707.97,53869094.98390297,897152.5879518336,0.5,0.12,0.002,1021.707,0.5,0.05,0.1,0.1,0.2
high_margin_high_false_decline,validation,0.07,0.1,0.17,0.13268463410307968,0.23432114709867607,519.3313634654797,469.3162078296537,61502,4306,6150,51046,0.07001398328509642,0.09999674807323339,36753180435.0,2748114009.0,34005066426.0,2164187254.5,3303944208.0,31285048972.5,772585753.5,1391601501.0,557299620.0,2746644588.0,1418228635.5,29866820337.0,0.05888435310591645,0.08989546398149692,0.35698655552728187,0.1686770674427805,0.04533247292489914,1051235563.5,1528933730.4,0.38252982229166316,0.04496193923711879,0.07020261276335445,0.04965551436171682,525617781.75,183472047.648,6283498.05,335862236.052,54609969.76553608,913831.7611614338,0.5,0.12,0.002,1021.707,0.5,0.05,0.1,0.1,0.2
low_lgd_low_margin,development,0.1,0.1,0.2,0.11686200308818163,0.19159978464952473,529.7952434587617,487.75228358037833,184507,19093,17348,148066,0.10348116873614552,0.09402353298248847,110525324116.5,8329757778.0,102195566338.5,10092240513.0,9407574036.0,91025509567.5,5034932968.5,5057307544.5,1499930730.0,7907643306.0,1794894079.5,89230615488.0,0.09131156677145051,0.08511690973268606,0.4988914960968687,0.15943863149630386,0.019718583153538905,5559908724.0,5373613276.74,0.667475438323604,0.05258166737822172,0.09892322947829986,0.02781201861153673,1945968053.3999999,268680663.837,8862286.518,1668425103.0449998,90426114.07941161,1509541.0182071798,0.35,0.05,0.001,510.8535,0.35,0.04,0.1,0.1,0.2
