cost_scenario,split,decline_pct_target_from_validation,manual_review_pct_target_from_validation,total_intervention_pct_target,pd_manual_cutoff_from_validation,pd_decline_cutoff_from_validation,score_manual_cutoff_from_validation,score_decline_cutoff_from_validation,rows,bad_count,good_count,direct_decline_rows,manual_review_rows,auto_approve_rows,actual_direct_decline_pct,actual_manual_review_pct,bad_direct_decline,good_direct_decline,bad_manual_review,good_manual_review,bad_auto_approve,good_auto_approve,direct_decline_bad_rate,manual_review_bad_rate,auto_approve_bad_rate,expected_bad_saved,expected_good_lost,expected_bad_saved_capture,expected_good_lost_capture,expected_final_reject_pct,expected_final_approve_bad_rate,manual_review_cost_total,incremental_value_vs_approve_all_units,incremental_value_per_10000_applications,bad_loss_cost,false_decline_good_cost,manual_review_cost,manual_bad_catch_rate,manual_good_false_decline_rate,max_direct_decline_pct,max_manual_review_pct,max_total_intervention_pct
balanced_base,development,0.1,0.1,0.2,0.11686200308818163,0.19159978464952473,529.7952434587617,487.75228358037833,184507,14895,169612,19093,17348,148066,0.10348116873614552,0.09402353298248847,9341,9752,2587,14761,2967,145099,0.48923689310218405,0.1491238183075859,0.02003836127132495,10893.2,10637.66,0.7313326619671031,0.06271761431974153,0.1166940007696185,0.024554514544276238,1734.8000000000002,42093.53999999999,2281.4061255128527,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,final_holdout,0.1,0.1,0.2,0.11686200308818163,0.19159978464952473,529.7952434587617,487.75228358037833,61502,4965,56537,6185,6146,49171,0.10056583525739,0.0999317095379012,1901,4284,984,5162,2080,47091,0.30735650767987066,0.16010413276928084,0.04230135649061439,2491.4,4593.72,0.501792547834844,0.08125156976847021,0.11520145686319144,0.045456483355899864,614.6,7248.679999999999,1178.6088257292445,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,validation,0.1,0.1,0.2,0.11686200308818163,0.19159978464952473,529.7952434587617,487.75228358037833,61502,4965,56537,6151,6150,49201,0.10001300770706643,0.09999674807323339,1948,4203,919,5231,2098,47103,0.3166964721183547,0.1494308943089431,0.04264140972744456,2499.4,4516.86,0.5034038267875126,0.07989210605444222,0.11408181847744787,0.04525220727478419,615.0,7365.14,1197.54479529121,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
expensive_manual_conservative_reject,development,0.05,0.1,0.15000000000000002,0.14573348292807567,0.2762157442718041,511.4712880523599,453.39180376043964,184507,14895,169612,10410,17400,156697,0.0564206236077764,0.09430536510809888,6782,3628,4130,13270,3983,152714,0.6514889529298751,0.23735632183908045,0.025418482804393194,8847.0,4291.5,0.5939577039274925,0.025301865434049477,0.0712086804294688,0.03529236703361469,4350.0,33447.75,1812.8173998818472,5.0,1.5,0.25,0.5,0.05,0.1,0.1,0.2
expensive_manual_conservative_reject,final_holdout,0.05,0.1,0.15000000000000002,0.14573348292807567,0.2762157442718041,511.4712880523599,453.39180376043964,61502,4965,56537,3077,6173,52252,0.050030893304282786,0.10037071965139345,1188,1889,1250,4923,2527,49725,0.38609034774130646,0.20249473513688643,0.04836178519482508,1813.0,2135.15,0.36515609264853977,0.03776553407503051,0.06419547331794088,0.054766101659576204,1543.25,4319.025,702.2576501577183,5.0,1.5,0.25,0.5,0.05,0.1,0.1,0.2
expensive_manual_conservative_reject,validation,0.05,0.1,0.15000000000000002,0.14573348292807567,0.2762157442718041,511.4712880523599,453.39180376043964,61502,4965,56537,3076,6150,52276,0.05001463367044974,0.09999674807323339,1191,1885,1252,4898,2522,49754,0.38719115734720416,0.20357723577235773,0.04824393603183105,1817.0,2129.9,0.3659617321248741,0.03767267453172259,0.06417514877564957,0.05469541361234712,1537.5,4352.65,707.7249520340802,5.0,1.5,0.25,0.5,0.05,0.1,0.1,0.2
high_bad_loss_strong_manual,development,0.15,0.15,0.3,0.07979358776350075,0.14573348292807567,560.2842346923295,511.4712880523599,184507,14895,169612,27810,26792,129905,0.15072598871587528,0.14520858287219454,10912,16898,2369,24423,1614,128291,0.39237684286227975,0.08842191699014632,0.012424464031407567,12570.3,18851.84,0.8439274924471298,0.11114685281701767,0.17030324052745965,0.015185695045218712,2679.2000000000003,79031.36,4283.38003436184,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,final_holdout,0.15,0.15,0.3,0.07979358776350075,0.14573348292807567,560.2842346923295,511.4712880523599,61502,4965,56537,9250,9223,43029,0.15040161295567625,0.149962602842184,2438,6812,1097,8126,1430,41599,0.26356756756756755,0.11894177599479562,0.03323340072974041,3205.9,7462.08,0.6456998992950654,0.13198577922422483,0.17345744853825892,0.034604778453484496,922.3000000000001,17262.820000000003,2806.8713212578455,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.15,0.15,0.3,0.07979358776350075,0.14573348292807567,560.2842346923295,511.4712880523599,61502,4965,56537,9226,9225,43051,0.15001138174368314,0.14999512210985008,2443,6783,1049,8176,1473,41578,0.26479514415781485,0.11371273712737127,0.034215233095630765,3177.3,7437.08,0.639939577039275,0.13154359092275855,0.17258593216480764,0.035130351940216506,922.5,17058.82,2773.7016682384315,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
low_bad_loss_low_manual_value,development,0.05,0.1,0.15000000000000002,0.14573348292807567,0.2762157442718041,511.4712880523599,453.39180376043964,184507,14895,169612,10410,17400,156697,0.0564206236077764,0.09430536510809888,6782,3628,4130,13270,3983,152714,0.6514889529298751,0.23735632183908045,0.025418482804393194,8227.5,4158.8,0.5523665659617322,0.024519491545409524,0.06713187033554283,0.03873735117275261,1740.0,18783.7,1018.0480957362053,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
low_bad_loss_low_manual_value,final_holdout,0.05,0.1,0.15000000000000002,0.14573348292807567,0.2762157442718041,511.4712880523599,453.39180376043964,61502,4965,56537,3077,6173,52252,0.050030893304282786,0.10037071965139345,1188,1889,1250,4923,2527,49725,0.38609034774130646,0.20249473513688643,0.04836178519482508,1625.5,2085.92,0.3273917421953676,0.03689477687178308,0.06034633020064388,0.05778623436553154,617.3000000000001,2173.2799999999997,353.3673701668238,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
low_bad_loss_low_manual_value,validation,0.05,0.1,0.15000000000000002,0.14573348292807567,0.2762157442718041,511.4712880523599,453.39180376043964,61502,4965,56537,3076,6150,52276,0.05001463367044974,0.09999674807323339,1191,1885,1252,4898,2522,49754,0.38719115734720416,0.20357723577235773,0.04824393603183105,1629.2,2080.92,0.32813695871097687,0.03680633921148982,0.06032519267666092,0.05772091165748545,615.0,2191.6800000000003,356.35914279210436,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
