cost_scenario,split,decline_pct_target_from_validation,manual_review_pct_target_from_validation,total_intervention_pct_target,pd_manual_cutoff_from_validation,pd_decline_cutoff_from_validation,score_manual_cutoff_from_validation,score_decline_cutoff_from_validation,rows,bad_count,good_count,direct_decline_rows,manual_review_rows,auto_approve_rows,actual_direct_decline_pct,actual_manual_review_pct,bad_direct_decline,good_direct_decline,bad_manual_review,good_manual_review,bad_auto_approve,good_auto_approve,direct_decline_bad_rate,manual_review_bad_rate,auto_approve_bad_rate,expected_bad_saved,expected_good_lost,expected_bad_saved_capture,expected_good_lost_capture,expected_final_reject_pct,expected_final_approve_bad_rate,manual_review_cost_total,incremental_value_vs_approve_all_units,incremental_value_per_10000_applications,bad_loss_cost,false_decline_good_cost,manual_review_cost,manual_bad_catch_rate,manual_good_false_decline_rate,max_direct_decline_pct,max_manual_review_pct,max_total_intervention_pct
balanced_base,development,0.0,0.0,0.0,inf,inf,,,184507,14895,169612,0,0,184507,0.0,0.0,0,0,0,0,14895,169612,0.0,0.0,0.0807286444416743,0.0,0.0,0.0,0.0,0.0,0.0807286444416743,0.0,0.0,0.0,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.0,0.03,0.03,0.3446418113652874,inf,430.2628900269997,,184507,14895,169612,0,6622,177885,0.0,0.035890237226771884,0,0,4994,1628,9901,167984,0.0,0.7541528239202658,0.055659555330691175,2996.4,97.67999999999999,0.2011681772406848,0.000575902648397519,0.016769445061704975,0.06558849281517545,662.2,14222.119999999999,770.8173673627558,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.0,0.05,0.05,0.2762157442718041,inf,453.39180376043964,,184507,14895,169612,0,10410,174097,0.0,0.0564206236077764,0,0,6782,3628,8113,165984,0.0,0.6514889529298751,0.04660045836516425,4069.2,217.67999999999998,0.2731923464249748,0.001283399759450982,0.023234240435322236,0.06006987455118774,1041.0,19087.32,1034.5038399627115,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.0,0.07,0.07,0.23432114709867607,inf,469.3162078296537,,184507,14895,169612,0,13931,170576,0.0,0.07550391042074285,0,0,8035,5896,6860,163716,0.0,0.5767712296317565,0.0402166776099803,4821.0,353.76,0.32366565961732124,0.0020857014833856095,0.028046415583148607,0.056175063669533155,1393.1000000000001,22358.140000000003,1211.7773309413735,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.0,0.1,0.1,0.19159978464952473,inf,487.75228358037833,,184507,14895,169612,0,19093,165414,0.0,0.10348116873614552,0,0,9341,9752,5554,159860,0.0,0.48923689310218405,0.033576359921167497,5604.599999999999,585.12,0.37627391742195365,0.0034497559134966864,0.033547345087178264,0.05210039094360344,1909.3000000000002,25528.579999999998,1383.6103779260407,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.01,0.0,0.01,0.47104785323454834,0.47104785323454834,392.2667743276861,392.2667743276861,184507,14895,169612,2854,0,181653,0.015468247817155988,0.0,2545,309,0,0,12350,169303,0.8917309039943938,0.0,0.06798676597689,2545.0,309.0,0.17086270560590802,0.0018218050609626678,0.015468247817155988,0.06798676597689,0.0,12416.0,672.9283983805492,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.01,0.03,0.04,0.30531170684583064,0.47104785323454834,443.20773906287764,392.2667743276861,184507,14895,169612,2854,5701,175952,0.015468247817155988,0.030898556694325962,2545,309,3435,2266,8915,167037,0.8917309039943938,0.6025258726539203,0.05066722742566154,4606.0,444.96000000000004,0.30923128566633096,0.0026233992877862417,0.027375438330253053,0.05733437559415665,570.1,22014.940000000002,1193.1764106510866,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.01,0.05,0.060000000000000005,0.2539950077229779,0.47104785323454834,461.62285245436374,392.2667743276861,184507,14895,169612,2854,9256,172397,0.015468247817155988,0.05016611835865306,2545,309,4875,4381,7475,164922,0.8917309039943938,0.526685393258427,0.04335922318833854,5470.0,571.86,0.3672373279624035,0.0033715774827252788,0.032745966277702196,0.052811434210625105,925.6,25852.54,1401.1685193515693,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.01,0.07,0.08,0.21782097369218856,0.47104785323454834,476.12139403555483,392.2667743276861,184507,14895,169612,2854,12777,168876,0.015468247817155988,0.06924940517161951,2545,309,5994,6783,6356,162520,0.8917309039943938,0.4691242075604602,0.03763708283000545,6141.4,715.98,0.4123128566633098,0.004221281513100489,0.03716596118304454,0.04927452138653604,1277.7,28713.32,1556.2184632561366,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.01,0.1,0.11,0.18090978210725084,0.47104785323454834,492.8411925432189,392.2667743276861,184507,14895,169612,2854,17948,163705,0.015468247817155988,0.09727544212414706,2545,309,7164,10784,5186,158519,0.8917309039943938,0.39915310898150214,0.03167893466906936,6843.4,956.04,0.45944276602886874,0.005636629483762941,0.042271783726362686,0.045564547436453766,1794.8000000000002,31466.16,1705.41822261486,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.03,0.0,0.03,0.3446418113652874,0.3446418113652874,430.2628900269997,430.2628900269997,184507,14895,169612,6622,0,177885,0.035890237226771884,0.0,4994,1628,0,0,9901,167984,0.7541528239202658,0.0,0.055659555330691175,4994.0,1628.0,0.33528029540114135,0.009598377473291984,0.035890237226771884,0.055659555330691175,0.0,23342.0,1265.1010530765773,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.03,0.03,0.06,0.2539950077229779,0.3446418113652874,461.62285245436374,430.2628900269997,184507,14895,169612,6622,5488,172397,0.035890237226771884,0.029744128949037163,4994,1628,2426,3062,7475,164922,0.7541528239202658,0.4420553935860058,0.04335922318833854,6449.6,1811.72,0.43300436388049685,0.010681555550314836,0.04477510338361146,0.04791833762960885,548.8000000000001,29887.48,1619.8561572189674,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.03,0.05,0.08,0.21782097369218856,0.3446418113652874,476.12139403555483,430.2628900269997,184507,14895,169612,6622,9009,168876,0.035890237226771884,0.04882741576200361,4994,1628,3545,5464,6356,162520,0.7541528239202658,0.3934953934953935,0.03763708283000545,7121.0,1955.84,0.47807989258140315,0.011531259580690045,0.049195098288953805,0.044313930968312404,900.9000000000001,32748.260000000002,1774.9061011235349,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.03,0.07,0.1,0.19159978464952473,0.3446418113652874,487.75228358037833,430.2628900269997,184507,14895,169612,6622,12471,165414,0.035890237226771884,0.06759093150937363,4994,1628,4347,8124,5554,159860,0.7541528239202658,0.3485686793360597,0.033576359921167497,7602.2,2115.44,0.5103860355824102,0.012472230738391151,0.05266813725224518,0.04172336348162154,1247.1000000000001,34648.46,1877.894063639862,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.03,0.1,0.13,0.16174800345772372,0.3446418113652874,502.5854007483094,430.2628900269997,184507,14895,169612,6622,17662,160223,0.035890237226771884,0.0957253654332898,4994,1628,5357,12305,4544,155679,0.7541528239202658,0.3033065338013815,0.02836047259132584,8208.2,2366.3,0.5510708291372944,0.013951253449048417,0.057312188697447794,0.038444798988113205,1766.2,36908.5,2000.3848092484297,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.05,0.0,0.05,0.2762157442718041,0.2762157442718041,453.39180376043964,453.39180376043964,184507,14895,169612,10410,0,174097,0.0564206236077764,0.0,6782,3628,0,0,8113,165984,0.6514889529298751,0.0,0.04660045836516425,6782.0,3628.0,0.455320577374958,0.021389995990849703,0.0564206236077764,0.04660045836516425,0.0,30282.0,1641.2385437950863,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
balanced_base,development,0.05,0.03,0.08,0.21782097369218856,0.2762157442718041,476.12139403555483,453.39180376043964,184507,14895,169612,10410,5221,168876,0.0564206236077764,0.028297029380999095,6782,3628,1757,3464,6356,162520,0.6514889529298751,0.33652556981421183,0.03763708283000545,7836.2,3835.84,0.5260960053709298,0.022615380987194303,0.06326068929634107,0.04084127424220193,522.1,34823.060000000005,1887.3571192420889,5.0,1.0,0.1,0.6,0.06,0.15,0.1,0.25
