split,decline_pct_target_from_validation,pd_cutoff_from_validation,score_cutoff_from_validation,rows,decline_rows,approve_rows,actual_decline_pct,bad_count,good_count,bad_rejected_count,good_rejected_count,decline_bad_rate,approve_bad_rate,decline_bad_capture,good_rejected_capture,decline_lift,break_even_bad_loss_to_good_profit
development,0.01,0.47104785323454834,392.2667743276861,184507,2854,181653,0.015468247817155988,14895,169612,2545,309,0.8917309039943938,0.06798676597689,0.17086270560590802,0.0018218050609626678,11.046028459435624,0.12141453831041257
development,0.03,0.3446418113652874,430.2628900269997,184507,6622,177885,0.035890237226771884,14895,169612,4994,1628,0.7541528239202658,0.055659555330691175,0.33528029540114135,0.009598377473291984,9.341824443306916,0.32599118942731276
development,0.05,0.2762157442718041,453.39180376043964,184507,10410,174097,0.0564206236077764,14895,169612,6782,3628,0.6514889529298751,0.04660045836516425,0.455320577374958,0.021389995990849703,8.070108911596675,0.5349454438218815
development,0.07,0.23432114709867607,469.3162078296537,184507,13931,170576,0.07550391042074285,14895,169612,8035,5896,0.5767712296317565,0.0402166776099803,0.5394427660288688,0.03476169138976016,7.144567255163914,0.7337896701929061
development,0.1,0.19159978464952473,487.75228358037833,184507,19093,165414,0.10348116873614552,14895,169612,9341,9752,0.48923689310218405,0.033576359921167497,0.6271231957032561,0.057495931891611445,6.060263943310149,1.0439995717803232
development,0.12,0.1706412777881954,497.95507381024896,184507,22580,161927,0.1223801806977513,14895,169612,10067,12513,0.445837023914969,0.02981590469779592,0.6758643840214837,0.07377426125509988,5.522662086034185,1.2429720870169862
development,0.15,0.14573348292807567,511.4712880523599,184507,27810,156697,0.15072598871587528,14895,169612,10912,16898,0.39237684286227975,0.025418482804393194,0.7325948304800268,0.09962738485484518,4.860441365961105,1.5485703812316716
development,0.2,0.11686200308818163,529.7952434587617,184507,36441,148066,0.197504701718634,14895,169612,11928,24513,0.32732361900057627,0.02003836127132495,0.8008056394763343,0.1445239723604462,4.054615573745507,2.055080482897384
development,0.25,0.09552850331754612,546.0571888633244,184507,45548,138959,0.24686326264044184,14895,169612,12719,32829,0.2792438745938351,0.015659295187789204,0.8539107082913729,0.1935535221564512,3.4590432742319392,2.581099143014388
development,0.3,0.07979358776350075,560.2842346923295,184507,54602,129905,0.29593457158806985,14895,169612,13281,41321,0.2432328486136039,0.012424464031407567,0.8916414904330312,0.24362073438200127,3.012968324884204,3.111286800692719
